Article Number,Weight per one meter,Tara weight,Total weight
263797,5,650,3136
7961515,3.3,650,890
7961513,3.3,650,
7960112,1.5,650,710
261627,1.7,125,379
261627,1.7,350,902
7963810,1.6,350,560
7963823,18.5,200,978
7963820,12.5,650,2068
7963809,1.7,650,817.2
7963809,1.7,350,581
7963819,13.5,650,1391
226846,3,450,1562
263796,5,250,2988
7963818,6.8,350,1127
7963813,4.4,0,38.4
7963814,4.5,350,643
7963817,6.7,200,535
7963824,15.2,200,1170
7961402,0.3,125,161
226851,1.13,125,1260
7963842,4.4,3200,5945
7960303,1.3,125,195
7960303,1.3,70,105
232790,13.3,0,604
249915,11.5,0,773
7960116,4.3,600,689
226830,3,450,1356
226840,3,450,
7961513,3,350,458.4
224474,1.5,600,
226316,11,0,
249923,11,0,623
249922,11,0,594
7961512,3,1050,1730
7961512,3,300,2071
7961514,3,300,2106
7961514,3,125,210
3KXT229418U0200,12.5,1850,5426
3KXT229417U0200,12.5,1850,5345
227188,40,0,
79601116,1.2,650,
260863,1,90,220
7961624,1.54,90,473
222408,65,0,
7961594,2.5,350,2390
229418,,2450,
247299,3.5,1850,3768
263795,5,600,5400
243283,3.4,1850,3622
222467,46,0,
3KXT000588U0100,3.5,600,9510
222416,74.4,0,
222379,5,0,
222404,55.4,5000,13570
222367,5,0,
222377,5.5,0,
222413,5.5,600,1976
222435,6,400,
222433,5,400,
222411,9.5,600,1013
227663,36.3,600,2292
229037,18,600,1894
222379,5,0,
222373,5.5,0,
226854,16,1850,19772
226855,16,1850,19748
231095,0.6,650,
7960288,5,1850,5685
227479,4,1850,3055
7960137,3,1850,2245
7960137,3,650,3852
7960132,3,650,3880
227478,3,450,1247
222478,3,300,
222432,2,600,
222435,5.5,600,
222428,2,600,
7960275,14.5,2350,7249
7960295,81,4000,70600
262009,15,2400,17600
243232,71,4140,37500
263779,23,600,4100
7961598,8.2,2380,6485
7961597,40,1850,4750
243243,12,1850,6340
7960100,22,1850,7955
7973297,19,600,3815
7960139,3.3,600,1300
7960020,26,600,1964
7960254,35,3100,14800
245640,38,4000,31000
7961599,23,955,3702
7961502,16.5,955,6934
7960291,20,955,4950
241633,126,3100,36000
7961614,31,1960,3600
243237,58,2380,11880
243234,33,1850,7200
243234,33,2380,5260
7960223,29.5,3120,6040
7960296,44,2000,11460
7960297,48.6,3450,6880
7961900,19,1500,4200
7960290,5.7,600,2330
7960231,16.3,2380,11126
7962289,43,2000,5920
7961569,28,3115,17000
7963254,17.3,350,2500
7960160,76.7,4000,28000
7961580,58.25,0,6530
7960138,9.3,1850,3000
7960307,64,3200,27500
7960190,120,5000,36000
7960056,62,4000,27000
7960056,62,5000,41000
242959,53.8,0,6870
7960101,45.7,2270,12730
7960188,64.4,2270,19300
7960282,18.5,1850,9190
7960282,18.5,1850,5360
7961508,24.6,1000,7500
3kxt000438u0100,46,2380,5823
7962309,16.3,2380,4400
7963606,49.6,5000,25100
7960256,17.3,1850,3400
7960206,14.7,2000,4215
7961585,156,0,12000
230695,24.6,450,5744
264071,57.5,3200,29800
7961476,34,3200,16650
7960103,21,2000,17840
7960103,21,1050,2467
7960103,21,800,7526
262960,347,0,26530
249758,144,2300,12580
260955,231,3120,47000
244561,12.8,1850,6930
7961612,155,2000,8849
261612,86,0,6440
261891,83,0,5420
7960281,27,2000,15295
7964342,17.4,800,6555
7961621,20,600,4270
221606,21.3,1850,8620
221606,21.3,600,2370
7960097,10.3,850,2130
7960153,17.6,1850,7915
7960289,8.5,500,3510
7960289,8.5,500,2297
263778,23.5,800,7236
263778,23.5,800,1700
227880,38.5,800,8555
243215,8.4,800,7965
7963838,59.5,0,9800
7963804,43,0,20400
7963803,42,0,20000
7963837,60.5,0,4400
3KXT000629U0100,60.3,0,8200
3KXT000628U0101,60.3,0,8200
7963627,45.2,0,1400
7963628,45.2,0,1200
7963830,27.5,0,400
7963895,60.8,0,2600
7963896,60,0,2400
7963835,55.2,0,1800
7963802,45,0,9200
7963801,36.2,0,4800
